RMM,C0/Si1,C/L,Si,Methyl,C,H,O,F,N,Cl,Br,Ben,C=C,H-,C=O,C-O,0,1,0,1,2
347.71,0,1,3,10,15,37,2,0,1,0,0,0,0,0,1,1,6.318335,-0.1856618,1.0059198,4.0007753,-1.096008
333.69,0,1,3,10,14,35,2,0,1,0,0,0,0,0,1,1,6.0228243,-0.06002176,1.0173622,3.8793433,0.4661926
362.73,0,1,3,9,15,38,2,0,2,0,0,0,0,0,1,1,4.659496,-2.4542348,1.5424294,3.8320239,-0.42310098
275.53,0,1,2,7,12,29,2,0,1,0,0,0,0,0,1,1,3.882278,-1.3770847,1.022699,2.611691,2.4664636
365.73,0,1,3,9,15,39,3,0,1,0,0,0,0,0,0,3,4.1459546,-1.7985796,0.31665167,2.6530674,3.571339
263.52,0,1,2,7,11,29,2,0,1,0,0,0,0,0,0,2,3.439666,-1.7873912,0.31330004,2.3452752,1.7647704
290.52,1,1,1,6,14,34,2,0,2,0,0,0,0,0,0,2,4.254141,-5.094249,0.31662217,3.164605,0.74047685
189.37,1,1,1,5,9,23,1,0,1,0,0,0,0,0,0,1,3.2095425,-2.3845458,0.60539603,3.2846837,0.79554915
492.0,0,1,3,9,24,57,3,0,1,0,0,0,0,0,0,3,8.499713,-0.029652,0.64269304,2.0324228,0.2983989
277.55,0,1,2,7,12,31,2,0,1,0,0,0,0,0,0,2,3.6134057,-1.8035971,0.14843032,2.153316,3.7702649
321.68,0,1,3,9,13,35,2,0,1,0,0,0,0,0,0,2,4.4955716,-0.50680983,0.29032084,2.5107658,1.6878726
